Gamma,Performance
0.00308641975308642,0.07387090483619345
0.0037037037037037034,0.1184527600849257
0.01865079365079365,0.09574290606653621
0.0006172839506172839,-0.007043204577968526
0.002777777777777778,0.10484986149584487
0.0005555555555555556,0.1421691896705254
0.01759259259259259,0.042062829062829064
0.005555555555555556,0.14624145785876994
0.003333333333333333,0.08485697151424287
0.00522875816993464,-0.21252210480914385
0.00625,0.06227022821576763
0.007407407407407407,-0.030369256017505473
0.003333333333333333,0.06687621052631579
0.011111111111111112,-0.008477943460702082
0.0018518518518518517,0.14695142378559464
0.0005555555555555556,-0.062231125827814565
0.002777777777777778,0.01821566739606127
0.00925925925925926,-0.011971686328938237
0.004814814814814815,0.09240301936330816
0.0009259259259259259,-1.0478359788359788
0.0023809523809523807,0.0008070176653966055
0.0043859649122807015,-0.13334994964753275
0.0009259259259259259,-0.06700767414403778
0.01,0.007324425287356322
0.0018518518518518517,0.230390692124105
0.0071428571428571435,0.04134398225180255
0.005555555555555556,-0.08546233009708737
0.0020833333333333333,0.09022449815649322
0.0011111111111111111,0.1288077592638647
0.01851851851851852,0.007596778733385457
0.008333333333333333,0.0011510463576158941
0.0007936507936507937,-0.18280882352941177
0.00202020202020202,-0.005190705622932746
0.0009259259259259259,0.21278407557354925
0.00042735042735042735,-0.225432681501461
0.003472222222222222,0.1945536862939139
0.011111111111111112,0.0299306824925816
0.00707070707070707,0.028902181818181816
0.008024691358024692,0.08108931419457736
0.07592592592592592,0.03941476692752637
0.0037037037037037034,0.12619999999999998
0.005246913580246914,-0.0073355153203342625
0.00462962962962963,0.01757543720190779
0.007222222222222223,-0.0014260089686098654
0.00925925925925926,-0.002399450292397661
0.021296296296296296,0.03569294205052006
0.00308641975308642,0.10638677439931958
0.005,0.020542823048073644
0.0037037037037037034,-0.39740580736543907
0.05714285714285715,0.0702045782635595
0.004166666666666667,0.05842515856236787
0.0047619047619047615,-0.0034964573991031395
0.016666666666666666,-0.04088883632923368
0.008333333333333333,-0.14757661647475642
0.0018518518518518517,0.03168447994783176
0.0024691358024691358,0.1919579090291921
0.0029914529914529912,-0.13622975321515468
0.0015873015873015873,0.37950400582665694
0.013492063492063491,-0.048012233211868816
0.003240740740740741,0.0348296943231441
0.013888888888888888,0.03319929958611907
0.01597222222222222,0.08974661963550852
0.0015873015873015873,0.0517474552957359
0.0031746031746031746,0.02864725093013642
0.0008547008547008547,0.003704685185185185
0.0015873015873015873,-0.14775101708706265
0.0030092592592592593,0.0006172763373043681
0.0018518518518518517,-0.011389409448818898
0.001984126984126984,0.07340004875670406
0.018333333333333333,0.07396151542377957
0.005555555555555556,0.22764756182112317
0.001984126984126984,0.049210035005834304
0.014814814814814814,0.007275875238701464
0.0015873015873015873,0.06145116804822908
0.015277777777777777,0.028836298047020776
0.0015873015873015873,-0.0100619140625
0.00462962962962963,0.2200789338800615
0.00915032679738562,0.009647457417921501
0.0015873015873015873,0.025089626556016594
0.003472222222222222,-0.39335732647814914
0.01037037037037037,0.11089043048560297
0.003968253968253968,0.0178701189296333
0.007936507936507936,0.013331274509803922
0.004320987654320988,-0.029715618661257607
0.014646464646464645,0.048662043301759134
0.0071428571428571435,-0.015036282748393475
0.047619047619047616,-0.041364949494949496
0.00808080808080808,-0.15830728476821193
0.0018518518518518517,0.045392128603104216
0.029861111111111113,0.018231240188383045
0.0016666666666666666,0.0468543220710838
0.002777777777777778,0.02932569558101473
0.0023809523809523807,-0.4162509652509652
0.0071428571428571435,0.06188343558282209
0.0007936507936507937,-0.04607772380291464
0.001388888888888889,-0.3184307524536532
0.005555555555555556,0.12774875
0.009876543209876543,0.1487815249266862
0.00308641975308642,0.045061079774375505
0.005555555555555556,0.11756086956521737
0.00462962962962963,0.008321986301369863
0.011805555555555555,-0.10063729060451566
0.01419753086419753,-0.11238455988455988
0.0018518518518518517,0.0714930593607306
0.005555555555555556,0.09043219908583038
0.012962962962962964,0.09115622655663917
0.0024691358024691358,-0.12505097706032287
0.00034722222222222224,-0.32137645236250967
0.00462962962962963,0.09131505847953217
0.0018518518518518517,-0.15845855130784708
0.0023809523809523807,0.12104925053533191
0.0023809523809523807,-0.19774914675767916
0.011728395061728396,0.029524219084296102
0.0008547008547008547,0.03859313358302122
0.013888888888888888,0.10504791418355186
0.002136752136752137,-0.011486792452830187
0.002777777777777778,0.06706552357624006
0.0101010101010101,-0.11177327586206896
0.0020833333333333333,0.2134937343358396
0.005555555555555556,0.1835939766981754
0.0049382716049382715,-0.008964017660044149
0.00034722222222222224,0.020943733794295594
0.010493827160493827,0.09695991882293252
0.0009259259259259259,-0.011681088314005354
0.010555555555555556,0.022439192849404117
0.00202020202020202,0.16836887608069165
0.0018518518518518517,0.25921144278606967
0.0007936507936507937,0.1411897168405365
0.0032679738562091504,-0.012597545126353788
0.00925925925925926,0.17637933597621408
0.012393162393162394,0.08255798231929277
0.025,0.08880275229357798
0.0018518518518518517,0.22434717868338558
0.019097222222222224,-0.1598844862323707
0.004861111111111111,0.016588453159041394
0.00925925925925926,0.11077603231597846
0.002777777777777778,0.050462843406593405
0.0023809523809523807,-0.1165600337031316
0.011111111111111112,0.16211758511758512
0.016666666666666666,0.17701657458563536
0.0037037037037037034,-0.013729672897196262
0.012962962962962964,-0.04642090909090909
0.019135802469135803,0.11853256227758006
0.00606060606060606,-0.14454461335095836
0.0020833333333333333,-0.46748429319371726
0.014583333333333334,0.054026995979322236
0.005925925925925926,0.06185890619065705
0.0016666666666666666,0.19302484763244254
0.029444444444444443,0.01123662311557789
0.0037037037037037034,-0.07499928520371693
0.004365079365079365,-0.11255931321540064
0.010416666666666666,-0.026573727933541017
0.00042735042735042735,0.20372400000000002
