,kappa_values,etaplus_values
0,1,0.005555555555555556
1,1,0.005555555555555556
2,1,0.10555555555555556
3,5,0.07777777777777778
4,2,0.011111111111111112
5,2,0.14444444444444443
6,1,0.011111111111111112
7,4,0.005555555555555556
8,13,0.027777777777777776
9,4,0.08888888888888889
10,7,0.08333333333333333
11,1,0.03333333333333333
12,4,0.005555555555555556
13,1,0.011111111111111112
14,2,0.022222222222222223
15,1,0.10555555555555556
16,1,0.03333333333333333
17,6,0.011111111111111112
18,1,0.005555555555555556
19,5,0.022222222222222223
20,3,0.022222222222222223
21,3,0.06666666666666667
22,3,0.022222222222222223
23,1,0.005555555555555556
24,5,0.07222222222222222
25,2,0.011111111111111112
26,6,0.005555555555555556
27,1,0.011111111111111112
28,7,0.016666666666666666
29,1,0.06666666666666667
30,5,0.044444444444444446
31,5,0.005555555555555556
32,18,0.022222222222222223
33,1,0.016666666666666666
34,14,0.005555555555555556
35,1,0.05555555555555555
36,6,0.005555555555555556
37,15,0.05
38,2,0.005555555555555556
39,6,0.044444444444444446
40,4,0.005555555555555556
41,4,0.005555555555555556
42,13,0.07222222222222222
43,6,0.005555555555555556
44,9,0.005555555555555556
45,1,0.005555555555555556
46,4,0.044444444444444446
47,3,0.005555555555555556
48,3,0.005555555555555556
49,1,0.03888888888888889
50,18,0.11666666666666667
51,4,0.08333333333333333
52,1,0.016666666666666666
53,1,0.005555555555555556
54,5,0.05555555555555555
55,16,0.2611111111111111
56,6,0.03888888888888889
57,2,0.016666666666666666
58,2,0.10555555555555556
59,5,0.027777777777777776
60,2,0.005555555555555556
61,1,0.005555555555555556
62,5,0.005555555555555556
63,6,0.011111111111111112
64,3,0.005555555555555556
65,8,0.022222222222222223
66,1,0.005555555555555556
67,4,0.03888888888888889
68,4,0.022222222222222223
69,2,0.17777777777777778
70,1,0.011111111111111112
71,3,0.011111111111111112
72,2,0.005555555555555556
73,1,0.005555555555555556
74,1,0.022222222222222223
75,5,0.016666666666666666
76,1,0.03333333333333333
77,5,0.05555555555555555
78,4,0.005555555555555556
79,2,0.022222222222222223
80,6,0.07777777777777778
81,1,0.022222222222222223
82,3,0.027777777777777776
83,4,0.027777777777777776
84,6,0.06111111111111111
85,1,0.06666666666666667
86,2,0.011111111111111112
87,6,0.005555555555555556
88,6,0.005555555555555556
89,2,0.016666666666666666
90,3,0.011111111111111112
91,6,0.1
92,4,0.005555555555555556
93,2,0.011111111111111112
94,1,0.005555555555555556
95,8,0.005555555555555556
96,4,0.005555555555555556
97,7,0.03888888888888889
98,5,0.011111111111111112
99,5,0.005555555555555556
100,4,0.005555555555555556
101,1,0.022222222222222223
102,4,0.005555555555555556
103,7,0.011111111111111112
104,4,0.011111111111111112
105,1,0.05
106,3,0.022222222222222223
107,6,0.022222222222222223
108,5,0.011111111111111112
109,1,0.005555555555555556
110,4,0.027777777777777776
111,2,0.016666666666666666
112,2,0.005555555555555556
113,3,0.011111111111111112
114,4,0.16666666666666666
115,2,0.005555555555555556
116,3,0.016666666666666666
117,7,0.05555555555555555
118,4,0.03333333333333333
119,2,0.005555555555555556
120,2,0.022222222222222223
121,10,0.005555555555555556
122,6,0.03888888888888889
123,2,0.016666666666666666
124,3,0.05
125,3,0.044444444444444446
126,5,0.03333333333333333
127,8,0.011111111111111112
128,1,0.005555555555555556
129,2,0.005555555555555556
130,3,0.005555555555555556
131,9,0.011111111111111112
132,12,0.016666666666666666
133,1,0.011111111111111112
134,3,0.03333333333333333
135,3,0.011111111111111112
136,2,0.011111111111111112
137,18,0.20555555555555555
138,1,0.005555555555555556
139,3,0.005555555555555556
140,5,0.05555555555555555
141,22,0.3055555555555556
142,7,0.016666666666666666
143,9,0.011111111111111112
144,2,0.1111111111111111
145,1,0.005555555555555556
146,4,0.05555555555555555
147,1,0.027777777777777776
148,1,0.011111111111111112
149,3,0.005555555555555556
150,1,0.011111111111111112
151,14,0.16666666666666666
152,11,0.11666666666666667
153,4,0.022222222222222223
154,5,0.03888888888888889
155,13,0.005555555555555556
156,2,0.011111111111111112
157,2,0.011111111111111112
158,4,0.022222222222222223
159,10,0.022222222222222223
160,3,0.005555555555555556
161,8,0.03888888888888889
162,4,0.06111111111111111
163,1,0.016666666666666666
164,5,0.005555555555555556
165,6,0.022222222222222223
166,4,0.016666666666666666
167,10,0.25
168,1,0.03888888888888889
169,6,0.044444444444444446
170,9,0.03333333333333333
171,6,0.03888888888888889
172,1,0.005555555555555556
173,1,0.005555555555555556
174,2,0.016666666666666666
175,2,0.016666666666666666
176,7,0.09444444444444444
177,10,0.016666666666666666
178,1,0.044444444444444446
179,1,0.011111111111111112
180,2,0.11666666666666667
181,1,0.011111111111111112
182,4,0.016666666666666666
183,1,0.03333333333333333
184,1,0.016666666666666666
185,4,0.027777777777777776
186,6,0.011111111111111112
187,6,0.03333333333333333
188,5,0.016666666666666666
189,5,0.016666666666666666
190,5,0.10555555555555556
191,2,0.011111111111111112
192,3,0.005555555555555556
193,17,0.044444444444444446
194,1,0.011111111111111112
195,2,0.03333333333333333
196,5,0.016666666666666666
197,2,0.005555555555555556
198,1,0.011111111111111112
199,5,0.005555555555555556
200,3,0.05
201,3,0.005555555555555556
202,1,0.011111111111111112
203,2,0.005555555555555556
204,10,0.13333333333333333
205,3,0.07777777777777778
206,1,0.011111111111111112
207,2,0.005555555555555556
208,1,0.1111111111111111
209,3,0.005555555555555556
210,1,0.005555555555555556
211,7,0.022222222222222223
212,7,0.011111111111111112
213,1,0.005555555555555556
214,1,0.05
215,1,0.027777777777777776
216,2,0.03888888888888889
217,2,0.005555555555555556
218,2,0.027777777777777776
219,1,0.08333333333333333
220,5,0.03888888888888889
221,1,0.016666666666666666
222,4,0.03888888888888889
223,8,0.027777777777777776
224,5,0.05
225,7,0.03333333333333333
226,5,0.05
227,7,0.05555555555555555
228,1,0.005555555555555556
229,7,0.016666666666666666
230,6,0.03333333333333333
231,1,0.011111111111111112
232,11,0.08888888888888889
233,5,0.005555555555555556
234,3,0.005555555555555556
235,5,0.011111111111111112
236,1,0.022222222222222223
237,3,0.005555555555555556
238,1,0.011111111111111112
239,2,0.005555555555555556
240,1,0.011111111111111112
241,4,0.05
242,9,0.027777777777777776
243,1,0.011111111111111112
244,6,0.005555555555555556
245,1,0.011111111111111112
246,7,0.016666666666666666
247,1,0.05
248,19,0.16111111111111112
249,7,0.07777777777777778
250,9,0.08333333333333333
251,7,0.027777777777777776
252,7,0.044444444444444446
253,4,0.03333333333333333
254,7,0.011111111111111112
255,8,0.011111111111111112
256,4,0.005555555555555556
257,4,0.06666666666666667
258,5,0.011111111111111112
259,2,0.03333333333333333
260,6,0.005555555555555556
261,4,0.03888888888888889
262,5,0.022222222222222223
263,4,0.005555555555555556
264,4,0.005555555555555556
265,5,0.14444444444444443
266,4,0.022222222222222223
267,4,0.06111111111111111
268,1,0.005555555555555556
269,4,0.027777777777777776
270,4,0.05555555555555555
