T,CID,performance,performance_30,in_degree
2013-06-03T00:00:00Z,362721,0.0014163090128755,0.0021688583785218,491
2013-06-03T00:00:00Z,2775712,0.0017729680289795,0.0006707485169054,1347
2013-06-04T00:00:00Z,362721,0.0025830636181511,0.002153381877047,489
2013-06-04T00:00:00Z,2775712,-0.0005920680777522,0.0006423911956065,1508
2013-06-05T00:00:00Z,362721,0.0019602363371681,0.0021326766966222,488
2013-06-05T00:00:00Z,2775712,-0.0011799447189552,0.0005967065936723,986
2013-06-06T00:00:00Z,362721,-0.0425329747085622,0.0014928050684514,447
2013-06-06T00:00:00Z,2775712,0.0017430363601695,0.0006054394599084,330
2013-06-07T00:00:00Z,362721,0.0051933688828294,0.001445202196587,432
2013-06-07T00:00:00Z,2775712,-0.0016858876656204,0.0005353242500328,304
2013-06-09T00:00:00Z,362721,0.0052687894575896,0.0014889390345474,430.5
2013-06-10T00:00:00Z,362721,0.0004656581046666,0.0014815773012389,429
2013-06-10T00:00:00Z,2775712,-0.0008142388951503,0.000520024594148,123
2013-06-11T00:00:00Z,362721,-0.0364098753666153,0.0001964186149663,429
2013-06-11T00:00:00Z,2775712,-0.0016573753201747,0.0005140917427379,40
2013-06-12T00:00:00Z,362721,-0.0556415259368902,-7.32187882332573e-05,414
2013-06-12T00:00:00Z,2775712,0.0011558208668288,0.000513736225776,38
2013-06-13T00:00:00Z,362721,0.0123489937995262,-7.62647828526937e-05,409
2013-06-13T00:00:00Z,2775712,-0.0005870076062475,0.0004781858659152,40
2013-06-14T00:00:00Z,362721,0.0008160476653932,-0.0001474502812002,401
2013-06-14T00:00:00Z,2775712,-0.0023434146341463,0.0004774694580845,25
2013-06-17T00:00:00Z,362721,0.002720088876324,-0.0003091702206768,398
2013-06-18T00:00:00Z,362721,-0.0145166459822347,-0.0007290398160364,396
2013-06-19T00:00:00Z,362721,-0.0344522644734645,-0.0022867497383019,391
2013-06-20T00:00:00Z,362721,-0.0272252383856468,-0.0036354195239908,375
2013-06-21T00:00:00Z,362721,-0.0006661978132738,-0.0040765487537032,372
