mean,std,count,Gamma,sem,beta_pop,beta_perf
-10.48879015237512,290.02030588302597,100053,4.052466242538704,0.9168817927994846,20.0,0.09
-10.58380674661261,289.63678159561545,99820,12.243357319516049,0.9167373592393558,20.0,0.09
-10.759257666324523,290.48424473329516,99978,20.472015927688684,0.9186928995286352,20.0,0.09
-12.249528538990534,290.8870290511342,99800,28.66384768464199,0.9207868012567793,20.0,0.09
-11.154980625102144,290.2192205817581,99887,36.82520902997146,0.9182727285394728,20.0,0.09
-10.708048289485307,290.7395468240392,99944,45.02856820125499,0.9196567137896396,20.0,0.09
-9.928470766987754,290.63577003639455,100246,53.53897037541173,0.9179426269257327,20.0,0.09
-11.131743043621082,290.0238997774381,99592,63.08920984769597,0.9190128014890115,20.0,0.09
-11.209660416918528,290.9100245154718,99877,75.96334541813881,0.9205045561323921,20.0,0.09
-10.127600733255248,291.8124737508357,99803,109.95110966620115,0.9237023620688616,20.0,0.09
52.65101825876554,288.55002142321035,99901,4.050504809673415,0.9129272975003911,15.0,5.0
64.54214150155737,289.6718824177422,99949,12.267016072386484,0.9162565977783727,15.0,5.0
74.81201003999372,291.1509309712208,99978,20.45725711918857,0.9208013784706105,15.0,5.0
87.88871594717737,290.40814187315516,99961,28.667228846810485,0.9185303102539512,15.0,5.0
97.98000308020823,291.02278302380284,99751,36.86396858517163,0.9214427566083103,15.0,5.0
106.95292930306137,290.82942222836436,99866,45.04937932390773,0.9203001926614072,15.0,5.0
113.41361148453971,290.0240516741148,100029,53.54853996535258,0.917003623633749,15.0,5.0
115.35646335562758,291.1107129346988,99825,63.127960395783084,0.9213794642048077,15.0,5.0
114.7872532009154,289.6460229607234,99860,76.05592234325636,0.9165829805718755,15.0,5.0
145.55410079949004,295.08075405072134,99880,110.28080470771275,0.9336876572392719,15.0,5.0
133.64163202526174,286.71848003028845,100051,4.049402307053699,0.9064523282770227,10.0,10.0
154.67874697445845,287.07314141899786,99768,12.250740471348022,0.9088598715859642,10.0,10.0
174.10750082087935,288.17646418463545,99937,20.43784646620635,0.9115811881917396,10.0,10.0
199.66249577398443,288.6757953329676,99869,28.620113899150677,0.9134715385500496,10.0,10.0
228.2423506121497,289.4849487481277,99984,36.820063558352665,0.9155050297134201,10.0,10.0
258.2456480174195,289.2132317140842,99827,45.01350053716141,0.9153646748642132,10.0,10.0
284.1181339019691,290.0959717692171,100216,53.538198371880654,0.916374859835422,10.0,10.0
308.4848660893126,291.4124881837666,99566,63.09856913704111,0.923533448004418,10.0,10.0
325.6064009666822,289.8501122136597,99926,75.98210537141696,0.9169258600055644,10.0,10.0
371.5111120977941,293.39944999882005,99856,110.02060532643196,0.9284792721481647,10.0,10.0
-3.5350778130059477,288.7804252175743,100005,4.072053284738149,0.9131810581183695,15.68,0.34
-0.7450758799740123,289.72571772707073,99806,12.263914600452015,0.9170831672776075,15.68,0.34
1.3540603156121853,288.401969371213,99950,20.457762528859398,0.9122351922036819,15.68,0.34
0.36114430867832475,290.97721706524356,99930,28.614585039245554,0.9204729750833751,15.68,0.34
1.4908629928806527,287.99931970598476,99863,36.830479684690914,0.9113583092544066,15.68,0.34
0.11001470761803953,289.4447562104498,99873,45.089286224586075,0.9158864590902176,15.68,0.34
0.6598514096724725,288.88065355358583,99878,53.61150434451397,0.9140785952986188,15.68,0.34
1.0622458203667784,290.3686584086935,99907,63.18912178091415,0.918653594984689,15.68,0.34
0.07622700790255911,290.9609372470424,100013,76.10304905236889,0.9200394712158039,15.68,0.34
4.173609867039635,291.626418320472,99775,110.19497500725839,0.9232429409762144,15.68,0.34
230.94456463980407,286.3541462063813,99953,4.061096895037045,0.9057441943464414,5.0,15.0
263.5098674416482,286.65603189883416,99966,12.266935943317826,0.9066401077476919,5.0,15.0
297.1451305539332,287.9942986952824,99839,20.474549569018656,0.9114519514006275,5.0,15.0
333.4046004508938,289.02346152041804,99969,28.675173554494883,0.9141141343038687,5.0,15.0
374.0088069119911,288.486071955246,99865,36.85719615569036,0.9128894691135827,5.0,15.0
416.321080005009,289.7107431477383,99871,45.08537632350749,0.9167372973395693,5.0,15.0
461.012023126423,290.928548265947,99875,53.59861019428272,0.9205723865399663,5.0,15.0
508.70389022137516,289.3328311119431,100019,63.164063138471,0.9148638402416763,5.0,15.0
561.5274488056135,290.51850228761384,99747,76.02343018059355,0.9198645352143652,5.0,15.0
660.6638594083221,297.09338084514883,99896,110.01253843282728,0.9399806783347595,5.0,15.0
325.5159103563266,287.1004079936261,100016,4.080850529331256,0.9078185838415508,0.09,20.0
371.56214212701263,287.5909015948604,99860,12.277331541851085,0.9100795622003581,0.09,20.0
411.24339844883286,287.85442240471167,99830,20.45355018121964,0.9110503315298715,0.09,20.0
456.633348298558,287.9063087020769,99929,28.623241472353474,0.9107630665285765,0.09,20.0
503.53309511754094,288.9481885244872,99965,36.810529815095464,0.913894347024293,0.09,20.0
560.4479125273295,289.77455831558234,99874,45.050438967083146,0.9169254573632487,0.09,20.0
614.7373049649154,289.8095575909107,99866,53.541208552955084,0.9170729345141893,0.09,20.0
676.7688138352808,289.63743264661747,99887,63.113661146330564,0.9164319131945688,0.09,20.0
755.5909756298539,291.618699634348,99904,76.02779423471864,0.9226222641649834,0.09,20.0
914.48700432045,310.4719965456169,99869,110.1798313131472,0.9824423694203696,0.09,20.0
